DateTimeNow; Pressure; TempInside; TempOutside; Humidity; Time Device;Latitude Device;Longitude Device;Altitude Device;Time GCS;Latitude GCS;Longitude GCS;Altitude GCS
02.05.2020 14:45:17;935;26.4337223184725;23.690283203125;54.4362487792969;124517;47.265;8.4322;447.7;0;0;0;0
02.05.2020 14:45:26;936;26.4337223184725;23.6795562744141;54.4057312011719;124525;47.265;8.4321;449.1;0;0;0;0
02.05.2020 14:45:34;935;26.4269071750844;23.6688293457031;54.4362487792969;124534;47.2649;8.4321;450.8;0;0;0;0
02.05.2020 14:45:42;936;26.4337223184725;23.7010101318359;54.4362487792969;124542;47.265;8.4322;452;0;0;0;0
02.05.2020 14:45:51;935;26.4337223184725;23.6795562744141;54.6117248535156;124549;47.2649;8.4322;452.6;0;0;0;0
02.05.2020 14:45:59;936;26.4337223184725;23.6795562744141;54.6117248535156;124559;47.265;8.4322;453.3;0;0;0;0
02.05.2020 14:46:08;936;26.4473526052486;23.7010101318359;54.5201721191406;124608;47.265;8.432;453.2;0;0;0;0
02.05.2020 14:46:16;935;26.4473526052486;23.7224639892578;54.4667663574219;124616;47.265;8.4323;453.1;0;0;0;0
02.05.2020 14:46:25;936;26.4405374618605;23.7331909179687;54.4057312011719;124625;47.2651;8.4323;454.8;0;0;0;0
02.05.2020 14:46:33;935;26.4541677486367;23.7117370605469;54.4362487792969;124633;47.2651;8.4323;455.3;0;0;0;0
02.05.2020 14:46:42;936;26.4473526052486;23.7117370605469;54.3828430175781;124641;47.2651;8.4323;455.4;0;0;0;0
02.05.2020 14:46:50;935;26.4337223184725;23.7224639892578;54.2302551269531;124648;47.2651;8.4323;455.3;0;0;0;0
02.05.2020 14:46:58;936;26.4405374618605;23.7010101318359;54.0852966308594;124658;47.2651;8.4323;455.3;0;0;0;0
02.05.2020 14:47:07;935;26.4541677486367;23.690283203125;54.2912902832031;124705;47.265;8.4323;455.4;0;0;0;0
02.05.2020 14:47:15;935;26.4473526052486;23.7010101318359;54.2302551269531;124715;47.2651;8.4323;455.9;0;0;0;0
02.05.2020 14:47:24;935;26.4473526052486;23.7331909179687;54.3523254394531;124724;47.265;8.4323;457.8;0;0;0;0
02.05.2020 14:47:32;935;26.4405374618605;23.7331909179687;54.4667663574219;124732;47.265;8.4323;459;0;0;0;0
02.05.2020 14:47:41;936;26.4541677486367;23.7546447753906;54.4667663574219;124741;47.2651;8.4323;461.5;0;0;0;0
02.05.2020 14:47:49;935;26.4405374618605;23.7546447753906;54.4667663574219;124749;47.2651;8.4324;462.5;0;0;0;0
02.05.2020 14:47:58;936;26.4541677486367;23.7653717041016;54.2912902832031;124757;47.2652;8.4324;462.1;0;0;0;0
02.05.2020 14:48:06;936;26.4473526052486;23.7546447753906;54.2607727050781;124804;47.2652;8.4324;464.2;0;0;0;0
02.05.2020 14:48:14;936;26.4405374618605;23.7546447753906;54.3218078613281;124814;47.2651;8.4324;465.1;0;0;0;0
02.05.2020 14:48:23;936;26.4473526052486;23.7439178466797;54.3218078613281;124821;47.265;8.4324;465.4;0;0;0;0
02.05.2020 14:48:31;936;26.4541677486367;23.7546447753906;54.3218078613281;124831;47.2651;8.4324;466.3;0;0;0;0
02.05.2020 14:48:40;935;26.4337223184725;23.7439178466797;53.9708557128906;124840;47.2651;8.4324;468.2;0;0;0;0
02.05.2020 14:48:48;936;26.4473526052486;23.7331909179687;54.2073669433594;124848;47.2651;8.4323;469.1;0;0;0;0
02.05.2020 14:48:57;936;26.4541677486367;23.7653717041016;54.3523254394531;124856;47.2651;8.4323;469.4;0;0;0;0
02.05.2020 14:49:05;936;26.4609828920248;23.7760986328125;54.2302551269531;124903;47.2651;8.4323;469.5;0;0;0;0
02.05.2020 14:49:13;936;26.4473526052486;23.7653717041016;54.3523254394531;124913;47.265;8.4321;471.1;0;0;0;0
02.05.2020 14:49:22;935;26.4541677486367;23.7546447753906;54.4057312011719;124920;47.265;8.432;471.7;0;0;0;0
02.05.2020 14:49:30;936;26.4541677486367;23.7868255615234;54.2607727050781;124930;47.265;8.432;473.2;0;0;0;0
02.05.2020 14:49:39;936;26.4609828920248;23.7760986328125;54.3523254394531;124939;47.265;8.4321;475.7;0;0;0;0
02.05.2020 14:49:47;936;26.4609828920248;23.7760986328125;54.4057312011719;124947;47.265;8.4321;475.7;0;0;0;0
02.05.2020 14:49:56;936;26.4609828920248;23.7868255615234;54.3218078613281;124956;47.2651;8.4322;476.2;0;0;0;0
02.05.2020 14:50:04;936;26.4609828920248;23.7760986328125;54.3218078613281;125004;47.2651;8.4322;477.7;0;0;0;0
02.05.2020 14:50:13;936;26.4677980354129;23.7546447753906;54.0852966308594;125012;47.265;8.4322;478.9;0;0;0;0
02.05.2020 14:50:21;936;26.4677980354129;23.8082794189453;54.0624084472656;125019;47.265;8.4322;478.8;0;0;0;0
02.05.2020 14:50:29;936;26.4405374618605;23.7653717041016;54.1463317871094;125029;47.265;8.4322;478.9;0;0;0;0
02.05.2020 14:50:38;936;26.3996466015321;23.7546447753906;54.0013732910156;125036;47.265;8.4322;479.1;0;0;0;0
02.05.2020 14:50:46;936;26.4405374618605;23.7546447753906;53.9174499511719;125046;47.2651;8.4323;479;0;0;0;0
02.05.2020 14:50:55;935;26.4541677486367;23.7546447753906;54.2302551269531;125055;47.265;8.4323;478.7;0;0;0;0
02.05.2020 14:51:03;936;26.4541677486367;23.7439178466797;53.8869323730469;125103;47.265;8.4323;478.6;0;0;0;0
02.05.2020 14:51:12;936;26.4609828920248;23.7439178466797;53.8258972167969;125111;47.265;8.43;478.6;0;0;0;0
02.05.2020 14:51:20;936;26.4609828920248;23.7546447753906;53.9708557128906;125120;47.265;8.4324;476.4;0;0;0;0
02.05.2020 14:51:28;936;26.4677980354129;23.7868255615234;54.0852966308594;125128;47.2651;8.432;476.4;0;0;0;0
02.05.2020 14:51:37;936;26.481428322189;23.8082794189453;54.0318908691406;125135;47.2651;8.432;476.4;0;0;0;0
02.05.2020 14:51:45;935;26.481428322189;23.7975524902344;53.8869323730469;125145;47.265;8.4324;476.5;0;0;0;0
02.05.2020 14:51:54;936;26.474613178801;23.7975524902344;53.9479675292969;125152;47.265;8.4323;476.5;0;0;0;0
02.05.2020 14:52:02;936;26.474613178801;23.7868255615234;54.2607727050781;125202;47.2651;8.432;478;0;0;0;0
02.05.2020 14:52:11;936;26.474613178801;23.8082794189453;54.3218078613281;125211;47.265;8.4324;479;0;0;0;0
02.05.2020 14:52:19;936;26.4677980354129;23.7975524902344;54.1463317871094;125219;47.2651;8.4324;479;0;0;0;0
02.05.2020 14:52:28;936;26.4677980354129;23.7760986328125;54.1463317871094;125227;47.265;8.4323;479.1;0;0;0;0
02.05.2020 14:52:36;936;26.4609828920248;23.7760986328125;54.3523254394531;125236;47.2651;8.4323;479.7;0;0;0;0
02.05.2020 14:52:44;935;26.4677980354129;23.7653717041016;54.3218078613281;125244;47.2651;8.4323;479.8;0;0;0;0
02.05.2020 14:52:53;936;26.4677980354129;23.7868255615234;54.3828430175781;125251;47.2651;8.4324;480.6;0;0;0;0
02.05.2020 14:53:01;936;26.4677980354129;23.7760986328125;54.4057312011719;125301;47.2651;8.4324;481.8;0;0;0;0
02.05.2020 14:53:10;935;26.4609828920248;23.8190063476562;54.3523254394531;125310;47.2652;8.432;482.5;0;0;0;0
02.05.2020 14:53:18;936;26.4677980354129;23.8190063476562;54.4057312011719;125318;47.2651;8.4324;482.6;0;0;0;0
02.05.2020 14:53:27;935;26.4677980354129;23.8082794189453;54.4362487792969;125327;47.2651;8.4322;483.1;0;0;0;0
02.05.2020 14:53:35;936;26.4677980354129;23.7975524902344;54.4057312011719;125335;47.2651;8.432;483.2;0;0;0;0
02.05.2020 14:53:43;935;26.474613178801;23.8190063476562;54.2912902832031;125343;47.2651;8.4322;483.3;0;0;0;0
02.05.2020 14:53:52;936;26.474613178801;23.8297332763672;54.0852966308594;125350;47.2651;8.4322;483.4;0;0;0;0
02.05.2020 14:54:00;936;26.474613178801;23.8404602050781;54.2607727050781;125400;47.265;8.4321;483.1;0;0;0;0
02.05.2020 14:54:09;935;26.4609828920248;23.8082794189453;54.3828430175781;125407;47.265;8.4321;483.2;0;0;0;0
02.05.2020 14:54:17;936;26.4609828920248;23.8082794189453;54.4057312011719;125417;47.2651;8.4321;483.2;0;0;0;0
02.05.2020 14:54:26;936;26.4609828920248;23.7975524902344;54.4057312011719;125426;47.2651;8.4321;481.2;0;0;0;0
02.05.2020 14:54:34;935;26.4677980354129;23.8190063476562;54.2912902832031;125434;47.2651;8.432;481.1;0;0;0;0
02.05.2020 14:54:43;935;26.4677980354129;23.8297332763672;54.2607727050781;125443;47.2651;8.4321;481.1;0;0;0;0
02.05.2020 14:54:51;936;26.4677980354129;23.8404602050781;54.3218078613281;125451;47.265;8.4321;480.9;0;0;0;0
02.05.2020 14:54:59;936;26.474613178801;23.8190063476562;54.2073669433594;125459;47.265;8.4322;479.8;0;0;0;0
02.05.2020 14:55:08;936;26.474613178801;23.8404602050781;54.2912902832031;125506;47.265;8.4322;479.7;0;0;0;0
02.05.2020 14:55:16;936;26.481428322189;23.8619140625;54.2302551269531;125516;47.265;8.4321;479.7;0;0;0;0
02.05.2020 14:55:25;935;26.481428322189;23.8511871337891;54.2302551269531;125523;47.265;8.4321;478.8;0;0;0;0
02.05.2020 14:55:33;936;26.474613178801;23.8404602050781;54.3752136230469;125533;47.265;8.432;478.1;0;0;0;0
02.05.2020 14:55:42;936;26.481428322189;23.8619140625;54.2302551269531;125542;47.2648;8.4319;476.8;0;0;0;0
02.05.2020 14:55:50;935;26.474613178801;23.8511871337891;54.3523254394531;125550;47.2649;8.4321;476.3;0;0;0;0
02.05.2020 14:55:59;936;26.481428322189;23.8511871337891;54.2607727050781;125558;47.265;8.4322;477.1;0;0;0;0
